FCFS

ZAMAN TABLOSU
[0,000] P001 [4,000]
[4,000] CS [4,001]
[4,001] P002 [11,001]
[11,001] CS [11,002]
[11,002] P003 [21,002]
[21,002] CS [21,003]
[21,003] P004 [34,003]
[34,003] CS [34,004]
[34,004] P005 [50,004]
[50,004] CS [50,005]
[50,005] P006 [69,005]
[69,005] CS [69,006]
[69,006] P007 [71,006]
[71,006] CS [71,007]
[71,007] P008 [76,007]
[76,007] CS [76,008]
[76,008] P009 [84,008]
[84,008] CS [84,009]
[84,009] P010 [95,009]
[95,009] CS [95,010]
[95,010] P011 [109,010]
[109,010] CS [109,011]
[109,011] P012 [126,011]
[126,011] CS [126,012]
[126,012] P013 [146,012]
[146,012] CS [146,013]
[146,013] P014 [149,013]
[149,013] CS [149,014]
[149,014] P015 [155,014]
[155,014] CS [155,015]
[155,015] P016 [164,015]
[164,015] CS [164,016]
[164,016] P017 [176,016]
[176,016] CS [176,017]
[176,017] P018 [191,017]
[191,017] CS [191,018]
[191,018] P019 [209,018]
[209,018] CS [209,019]
[209,019] P020 [210,019]
[210,019] CS [210,020]
[210,020] P021 [214,020]
[214,020] CS [214,021]
[214,021] P022 [221,021]
[221,021] CS [221,022]
[221,022] P023 [231,022]
[231,022] CS [231,023]
[231,023] P024 [244,023]
[244,023] CS [244,024]
[244,024] P025 [260,024]
[260,024] CS [260,025]
[260,025] P026 [279,025]
[279,025] CS [279,026]
[279,026] P027 [281,026]
[281,026] CS [281,027]
[281,027] P028 [286,027]
[286,027] CS [286,028]
[286,028] P029 [294,028]
[294,028] CS [294,029]
[294,029] P030 [305,029]
[305,029] CS [305,030]
[305,030] P031 [319,030]
[319,030] CS [319,031]
[319,031] P032 [336,031]
[336,031] CS [336,032]
[336,032] P033 [356,032]
[356,032] CS [356,033]
[356,033] P034 [359,033]
[359,033] CS [359,034]
[359,034] P035 [365,034]
[365,034] CS [365,035]
[365,035] P036 [374,035]
[374,035] CS [374,036]
[374,036] P037 [386,036]
[386,036] CS [386,037]
[386,037] P038 [401,037]
[401,037] CS [401,038]
[401,038] P039 [419,038]
[419,038] CS [419,039]
[419,039] P040 [420,039]
[420,039] CS [420,040]
[420,040] P041 [424,040]
[424,040] CS [424,041]
[424,041] P042 [431,041]
[431,041] CS [431,042]
[431,042] P043 [441,042]
[441,042] CS [441,043]
[441,043] P044 [454,043]
[454,043] CS [454,044]
[454,044] P045 [470,044]
[470,044] CS [470,045]
[470,045] P046 [489,045]
[489,045] CS [489,046]
[489,046] P047 [491,046]
[491,046] CS [491,047]
[491,047] P048 [496,047]
[496,047] CS [496,048]
[496,048] P049 [504,048]
[504,048] CS [504,049]
[504,049] P050 [515,049]
[515,049] CS [515,050]
[515,050] P051 [529,050]
[529,050] CS [529,051]
[529,051] P052 [546,051]
[546,051] CS [546,052]
[546,052] P053 [566,052]
[566,052] CS [566,053]
[566,053] P054 [569,053]
[569,053] CS [569,054]
[569,054] P055 [575,054]
[575,054] CS [575,055]
[575,055] P056 [584,055]
[584,055] CS [584,056]
[584,056] P057 [596,056]
[596,056] CS [596,057]
[596,057] P058 [611,057]
[611,057] CS [611,058]
[611,058] P059 [629,058]
[629,058] CS [629,059]
[629,059] P060 [630,059]
[630,059] CS [630,060]
[630,060] P061 [634,060]
[634,060] CS [634,061]
[634,061] P062 [641,061]
[641,061] CS [641,062]
[641,062] P063 [651,062]
[651,062] CS [651,063]
[651,063] P064 [664,063]
[664,063] CS [664,064]
[664,064] P065 [680,064]
[680,064] CS [680,065]
[680,065] P066 [699,065]
[699,065] CS [699,066]
[699,066] P067 [701,066]
[701,066] CS [701,067]
[701,067] P068 [706,067]
[706,067] CS [706,068]
[706,068] P069 [714,068]
[714,068] CS [714,069]
[714,069] P070 [725,069]
[725,069] CS [725,070]
[725,070] P071 [739,070]
[739,070] CS [739,071]
[739,071] P072 [756,071]
[756,071] CS [756,072]
[756,072] P073 [776,072]
[776,072] CS [776,073]
[776,073] P074 [779,073]
[779,073] CS [779,074]
[779,074] P075 [785,074]
[785,074] CS [785,075]
[785,075] P076 [794,075]
[794,075] CS [794,076]
[794,076] P077 [806,076]
[806,076] CS [806,077]
[806,077] P078 [821,077]
[821,077] CS [821,078]
[821,078] P079 [839,078]
[839,078] CS [839,079]
[839,079] P080 [840,079]
[840,079] CS [840,080]
[840,080] P081 [844,080]
[844,080] CS [844,081]
[844,081] P082 [851,081]
[851,081] CS [851,082]
[851,082] P083 [861,082]
[861,082] CS [861,083]
[861,083] P084 [874,083]
[874,083] CS [874,084]
[874,084] P085 [890,084]
[890,084] CS [890,085]
[890,085] P086 [909,085]
[909,085] CS [909,086]
[909,086] P087 [911,086]
[911,086] CS [911,087]
[911,087] P088 [916,087]
[916,087] CS [916,088]
[916,088] P089 [924,088]
[924,088] CS [924,089]
[924,089] P090 [935,089]
[935,089] CS [935,090]
[935,090] P091 [949,090]
[949,090] CS [949,091]
[949,091] P092 [966,091]
[966,091] CS [966,092]
[966,092] P093 [986,092]
[986,092] CS [986,093]
[986,093] P094 [989,093]
[989,093] CS [989,094]
[989,094] P095 [995,094]
[995,094] CS [995,095]
[995,095] P096 [1004,095]
[1004,095] CS [1004,096]
[1004,096] P097 [1016,096]
[1016,096] CS [1016,097]
[1016,097] P098 [1031,097]
[1031,097] CS [1031,098]
[1031,098] P099 [1049,098]
[1049,098] CS [1049,099]
[1049,099] P100 [1050,099]

BEKLEME SURESI
Ortalama: 418,050
Maksimum: 851,099

TAMAMLANMA SURESI
Ortalama: 428,550
Maksimum: 853,098

IS TAMAMLAMA SAYISI
T=50 -> 4
T=100 -> 10
T=150 -> 14
T=200 -> 18

CPU VERIMLILIGI
99,99%

BAGLAM DEGISTIRME
Toplam: 99
