Round Robin

ZAMAN TABLOSU
[0,000] P001 [4,000]
[4,000] CS [4,001]
[4,001] P002 [8,001]
[8,001] CS [8,002]
[8,002] P003 [12,002]
[12,002] CS [12,003]
[12,003] P004 [16,003]
[16,003] CS [16,004]
[16,004] P005 [20,004]
[20,004] CS [20,005]
[20,005] P002 [23,005]
[23,005] CS [23,006]
[23,006] P006 [27,006]
[27,006] CS [27,007]
[27,007] P007 [29,007]
[29,007] CS [29,008]
[29,008] P003 [33,008]
[33,008] CS [33,009]
[33,009] P008 [37,009]
[37,009] CS [37,010]
[37,010] P009 [41,010]
[41,010] CS [41,011]
[41,011] P004 [45,011]
[45,011] CS [45,012]
[45,012] P010 [49,012]
[49,012] CS [49,013]
[49,013] P011 [53,013]
[53,013] CS [53,014]
[53,014] P005 [57,014]
[57,014] CS [57,015]
[57,015] P012 [61,015]
[61,015] CS [61,016]
[61,016] P013 [65,016]
[65,016] CS [65,017]
[65,017] P014 [68,017]
[68,017] CS [68,018]
[68,018] P006 [72,018]
[72,018] CS [72,019]
[72,019] P015 [76,019]
[76,019] CS [76,020]
[76,020] P016 [80,020]
[80,020] CS [80,021]
[80,021] P017 [84,021]
[84,021] CS [84,022]
[84,022] P003 [86,022]
[86,022] CS [86,023]
[86,023] P018 [90,023]
[90,023] CS [90,024]
[90,024] P019 [94,024]
[94,024] CS [94,025]
[94,025] P008 [95,025]
[95,025] CS [95,026]
[95,026] P020 [96,026]
[96,026] CS [96,027]
[96,027] P021 [100,027]
[100,027] CS [100,028]
[100,028] P009 [104,028]
[104,028] CS [104,029]
[104,029] P022 [108,029]
[108,029] CS [108,030]
[108,030] P023 [112,030]
[112,030] CS [112,031]
[112,031] P004 [116,031]
[116,031] CS [116,032]
[116,032] P024 [120,032]
[120,032] CS [120,033]
[120,033] P025 [124,033]
[124,033] CS [124,034]
[124,034] P010 [128,034]
[128,034] CS [128,035]
[128,035] P026 [132,035]
[132,035] CS [132,036]
[132,036] P027 [134,036]
[134,036] CS [134,037]
[134,037] P011 [138,037]
[138,037] CS [138,038]
[138,038] P028 [142,038]
[142,038] CS [142,039]
[142,039] P029 [146,039]
[146,039] CS [146,040]
[146,040] P005 [150,040]
[150,040] CS [150,041]
[150,041] P030 [154,041]
[154,041] CS [154,042]
[154,042] P031 [158,042]
[158,042] CS [158,043]
[158,043] P012 [162,043]
[162,043] CS [162,044]
[162,044] P032 [166,044]
[166,044] CS [166,045]
[166,045] P033 [170,045]
[170,045] CS [170,046]
[170,046] P013 [174,046]
[174,046] CS [174,047]
[174,047] P034 [177,047]
[177,047] CS [177,048]
[177,048] P035 [181,048]
[181,048] CS [181,049]
[181,049] P036 [185,049]
[185,049] CS [185,050]
[185,050] P037 [189,050]
[189,050] CS [189,051]
[189,051] P006 [193,051]
[193,051] CS [193,052]
[193,052] P038 [197,052]
[197,052] CS [197,053]
[197,053] P039 [201,053]
[201,053] CS [201,054]
[201,054] P015 [203,054]
[203,054] CS [203,055]
[203,055] P040 [204,055]
[204,055] CS [204,056]
