SJF (kesmesiz)

ZAMAN TABLOSU
[0,000] P001 [4,000]
[4,000] CS [4,001]
[4,001] P002 [11,001]
[11,001] CS [11,002]
[11,002] P003 [21,002]
[21,002] CS [21,003]
[21,003] P007 [23,003]
[23,003] CS [23,004]
[23,004] P008 [28,004]
[28,004] CS [28,005]
[28,005] P014 [31,005]
[31,005] CS [31,006]
[31,006] P015 [37,006]
[37,006] CS [37,007]
[37,007] P009 [45,007]
[45,007] CS [45,008]
[45,008] P020 [46,008]
[46,008] CS [46,009]
[46,009] P021 [50,009]
[50,009] CS [50,010]
[50,010] P022 [57,010]
[57,010] CS [57,011]
[57,011] P027 [59,011]
[59,011] CS [59,012]
[59,012] P028 [64,012]
[64,012] CS [64,013]
[64,013] P029 [72,013]
[72,013] CS [72,014]
[72,014] P034 [75,014]
[75,014] CS [75,015]
[75,015] P035 [81,015]
[81,015] CS [81,016]
[81,016] P040 [82,016]
[82,016] CS [82,017]
[82,017] P041 [86,017]
[86,017] CS [86,018]
[86,018] P042 [93,018]
[93,018] CS [93,019]
[93,019] P047 [95,019]
[95,019] CS [95,020]
[95,020] P048 [100,020]
[100,020] CS [100,021]
[100,021] P049 [108,021]
[108,021] CS [108,022]
[108,022] P054 [111,022]
[111,022] CS [111,023]
[111,023] P055 [117,023]
[117,023] CS [117,024]
[117,024] P016 [126,024]
[126,024] CS [126,025]
[126,025] P060 [127,025]
[127,025] CS [127,026]
[127,026] P061 [131,026]
[131,026] CS [131,027]
[131,027] P062 [138,027]
[138,027] CS [138,028]
[138,028] P067 [140,028]
[140,028] CS [140,029]
[140,029] P068 [145,029]
[145,029] CS [145,030]
[145,030] P069 [153,030]
[153,030] CS [153,031]
[153,031] P074 [156,031]
[156,031] CS [156,032]
[156,032] P075 [162,032]
[162,032] CS [162,033]
[162,033] P080 [163,033]
[163,033] CS [163,034]
[163,034] P081 [167,034]
[167,034] CS [167,035]
[167,035] P082 [174,035]
[174,035] CS [174,036]
[174,036] P087 [176,036]
[176,036] CS [176,037]
[176,037] P088 [181,037]
[181,037] CS [181,038]
[181,038] P089 [189,038]
[189,038] CS [189,039]
[189,039] P094 [192,039]
[192,039] CS [192,040]
[192,040] P095 [198,040]
[198,040] CS [198,041]
[198,041] P100 [199,041]
[199,041] CS [199,042]
[199,042] P036 [208,042]
[208,042] CS [208,043]
[208,043] P056 [217,043]
[217,043] CS [217,044]
[217,044] P076 [226,044]
[226,044] CS [226,045]
[226,045] P096 [235,045]
[235,045] CS [235,046]
[235,046] P023 [245,046]
[245,046] CS [245,047]
[245,047] P043 [255,047]
[255,047] CS [255,048]
[255,048] P063 [265,048]
[265,048] CS [265,049]
[265,049] P083 [275,049]
[275,049] CS [275,050]
[275,050] P010 [286,050]
[286,050] CS [286,051]
[286,051] P030 [297,051]
[297,051] CS [297,052]
[297,052] P050 [308,052]
[308,052] CS [308,053]
[308,053] P070 [319,053]
[319,053] CS [319,054]
[319,054] P090 [330,054]
[330,054] CS [330,055]
[330,055] P017 [342,055]
[342,055] CS [342,056]
[342,056] P037 [354,056]
[354,056] CS [354,057]
[354,057] P057 [366,057]
[366,057] CS [366,058]
[366,058] P077 [378,058]
[378,058] CS [378,059]
[378,059] P097 [390,059]
[390,059] CS [390,060]
[390,060] P004 [403,060]
[403,060] CS [403,061]
[403,061] P024 [416,061]
[416,061] CS [416,062]
[416,062] P044 [429,062]
[429,062] CS [429,063]
[429,063] P064 [442,063]
[442,063] CS [442,064]
[442,064] P084 [455,064]
[455,064] CS [455,065]
[455,065] P011 [469,065]
[469,065] CS [469,066]
[469,066] P031 [483,066]
[483,066] CS [483,067]
[483,067] P051 [497,067]
[497,067] CS [497,068]
[497,068] P071 [511,068]
[511,068] CS [511,069]
[511,069] P091 [525,069]
[525,069] CS [525,070]
[525,070] P018 [540,070]
[540,070] CS [540,071]
[540,071] P038 [555,071]
[555,071] CS [555,072]
[555,072] P058 [570,072]
[570,072] CS [570,073]
[570,073] P078 [585,073]
[585,073] CS [585,074]
[585,074] P098 [600,074]
[600,074] CS [600,075]
[600,075] P005 [616,075]
[616,075] CS [616,076]
[616,076] P025 [632,076]
[632,076] CS [632,077]
[632,077] P045 [648,077]
[648,077] CS [648,078]
[648,078] P065 [664,078]
[664,078] CS [664,079]
[664,079] P085 [680,079]
[680,079] CS [680,080]
[680,080] P012 [697,080]
[697,080] CS [697,081]
[697,081] P032 [714,081]
[714,081] CS [714,082]
[714,082] P052 [731,082]
[731,082] CS [731,083]
[731,083] P072 [748,083]
[748,083] CS [748,084]
[748,084] P092 [765,084]
[765,084] CS [765,085]
[765,085] P019 [783,085]
[783,085] CS [783,086]
[783,086] P039 [801,086]
[801,086] CS [801,087]
[801,087] P059 [819,087]
[819,087] CS [819,088]
[819,088] P079 [837,088]
[837,088] CS [837,089]
[837,089] P099 [855,089]
[855,089] CS [855,090]
[855,090] P006 [874,090]
[874,090] CS [874,091]
[874,091] P026 [893,091]
[893,091] CS [893,092]
[893,092] P046 [912,092]
[912,092] CS [912,093]
[912,093] P066 [931,093]
[931,093] CS [931,094]
[931,094] P086 [950,094]
[950,094] CS [950,095]
[950,095] P013 [970,095]
[970,095] CS [970,096]
[970,096] P033 [990,096]
[990,096] CS [990,097]
[990,097] P053 [1010,097]
[1010,097] CS [1010,098]
[1010,098] P073 [1030,098]
[1030,098] CS [1030,099]
[1030,099] P093 [1050,099]

BEKLEME SURESI
Ortalama: 268,440
Maksimum: 926,095

TAMAMLANMA SURESI
Ortalama: 278,940
Maksimum: 946,095

IS TAMAMLAMA SAYISI
T=50 -> 9
T=100 -> 20
T=150 -> 30
T=200 -> 42

CPU VERIMLILIGI
99,99%

BAGLAM DEGISTIRME
Toplam: 99
